Date,Nifty Financial Services,Nifty IT,India VIX,Nifty Bank,Nifty 50
2020-12-16,14789.2998046875,22906.25,19.200000762939453,30698.04296875,13682.7001953125
2020-12-17,14963.5498046875,22892.25,19.15999984741211,30846.69140625,13740.7001953125
2020-12-18,14879.150390625,23256.599609375,18.6200008392334,30714.29296875,13760.5498046875
2020-12-21,14392.599609375,22844.599609375,23.190000534057617,29456.107421875,13328.400390625
2020-12-22,14421.599609375,23611.599609375,21.989999771118164,29625.60546875,13466.2998046875
2020-12-23,14517.0498046875,24167.75,20.5,29882.953125,13601.099609375
2020-12-24,14779.599609375,24009.25,19.969999313354492,30401.845703125,13749.25
2020-12-28,14966.4501953125,24100.30078125,20.43000030517578,30880.58984375,13873.2001953125
2020-12-29,15120.0,24274.05078125,20.790000915527344,31322.13671875,13932.599609375
2020-12-30,15162.900390625,24330.05078125,21.110000610351562,31302.6875,13981.9501953125
2020-12-31,15208.0,24251.349609375,21.100000381469727,31263.6875,13981.75
2021-01-01,15208.0,24456.099609375,21.100000381469727,31225.486328125,14018.5
2021-01-04,15193.0498046875,25110.05078125,20.030000686645508,31212.0859375,14132.900390625
2021-01-05,15380.5498046875,25769.150390625,20.459999084472656,31721.880859375,14199.5
2021-01-06,15393.9501953125,25419.150390625,21.0,31797.53125,14146.25
2021-01-07,15424.5498046875,25251.19921875,20.6200008392334,31955.62890625,14137.349609375
2021-01-08,15511.150390625,26162.400390625,20.639999389648438,32083.826171875,14347.25
2021-01-11,15605.099609375,27027.75,22.3799991607666,31998.529296875,14484.75
2021-01-12,15711.9501953125,26982.099609375,22.850000381469727,32338.625,14563.4501953125
2021-01-13,15624.0498046875,27004.30078125,23.290000915527344,32574.271484375,14564.849609375
2021-01-14,15608.9501953125,26965.55078125,23.030000686645508,32519.37109375,14595.599609375
2021-01-15,15453.4501953125,26362.80078125,24.010000228881836,32246.42578125,14433.7001953125
2021-01-18,15246.150390625,25916.25,24.399999618530273,31811.380859375,14281.2998046875
2021-01-19,15614.099609375,26043.5,22.899999618530273,32424.47265625,14521.150390625
2021-01-20,15663.0,26619.69921875,21.549999237060547,32543.3203125,14644.7001953125
2021-01-21,15546.7001953125,26450.150390625,22.18000030517578,32186.525390625,14590.349609375
2021-01-22,15546.7001953125,26489.75,22.18000030517578,31166.888671875,14371.900390625
2021-01-25,15143.650390625,26023.30078125,23.25,31198.037109375,14238.900390625
2021-01-27,14723.900390625,25865.30078125,24.389999389648438,30284.19921875,13967.5
2021-01-28,14602.849609375,25301.25,24.290000915527344,30357.947265625,13817.5498046875
2021-01-29,14593.2998046875,24645.75,25.34000015258789,30565.14453125,13634.599609375
2021-02-01,15702.4501953125,24922.69921875,23.31999969482422,33088.66796875,14281.2001953125
2021-02-02,16208.900390625,25447.80078125,23.350000381469727,34267.5,14647.849609375
2021-02-03,16403.650390625,25680.900390625,23.75,34758.046875,14789.9501953125
2021-02-04,16606.900390625,25570.05078125,23.1200008392334,35344.390625,14895.650390625
2021-02-05,16724.0,25331.599609375,23.420000076293945,35654.0859375,14924.25
2021-02-08,16862.30078125,25915.599609375,23.959999084472656,35983.23046875,15115.7998046875
2021-02-09,16904.900390625,25779.150390625,24.270000457763672,36056.08203125,15109.2998046875
2021-02-10,16869.349609375,25885.30078125,23.950000762939453,35782.6875,15106.5
2021-02-11,16861.849609375,26043.44921875,23.049999237060547,35751.6875,15173.2998046875
2021-02-12,17016.30078125,26093.80078125,22.040000915527344,36108.48046875,15163.2998046875
2021-02-15,17016.30078125,26001.099609375,22.040000915527344,37305.81640625,15314.7001953125
2021-02-16,17448.30078125,25613.94921875,21.780000686645508,37097.96875,15313.4501953125
2021-02-17,17448.30078125,25282.94921875,21.780000686645508,36910.51953125,15208.900390625
2021-02-18,17000.599609375,25618.55078125,21.540000915527344,36586.57421875,15118.9501953125
2021-02-19,16747.099609375,25503.19921875,22.25,35841.18359375,14981.75
2021-02-22,16479.19921875,24766.44921875,25.469999313354492,35256.7890625,14675.7001953125
2021-02-23,16394.80078125,24807.80078125,25.229999542236328,35116.54296875,14707.7998046875
2021-02-24,16951.44921875,24779.400390625,24.170000076293945,36451.87890625,14982.0
